Surface,Chambres,SallesDeBain,AnneeConstruction,Ville,TypeMaison,Garage,Jardin,DistanceCentre,Prix
188.0,1,1,1995,Lyon,Appartement,Oui,Oui,20.5,760820
133.0,1,1,1971,Lyon,Appartement,Oui,Oui,21.6,552080
204.0,5,2,1988,Toulouse,Loft,Non,Oui,22.9,818455
96.0,2,1,2003,Paris,Appartement,Non,Oui,11.1,603462
113.0,5,2,1965,Toulouse,Loft,Oui,Non,2.8,534784
117.0,5,1,1968,Paris,Loft,Oui,Non,29.6,662082
84.0,1,2,1995,Toulouse,Loft,Non,Oui,11.4,423751
199.0,6,1,1981,Lille,Loft,Oui,Oui,14.1,827933
94.0,6,3,1988,Marseille,,Oui,Oui,24.2,432270
170.0,6,2,1987,Toulouse,Maison,Non,Oui,8.3,753210
88.0,6,3,1993,Lille,Maison,Non,Non,7.0,510405
48.0,1,1,1979,Lyon,Loft,Non,Oui,11.9,320796
177.0,4,3,1992,Lille,Appartement,Oui,Non,,673977
65.0,4,1,1993,Lille,Appartement,Oui,Non,25.3,321350
154.0,5,1,1979,Marseille,Appartement,Oui,Non,14.9,623788
103.0,2,1,1990,,Appartement,Oui,Non,24.6,424517
219.0,5,1,1976,Toulouse,Loft,Oui,Non,16.1,784814
163.0,6,3,1985,Marseille,Maison,Non,Non,27.0,602506
140.0,1,1,1988,Paris,Maison,Oui,Oui,17.9,777264
40.0,2,1,1964,Marseille,,Oui,Non,20.2,194626
79.0,5,1,2020,Lyon,Maison,Non,Oui,3.3,489364
130.0,4,3,1966,Paris,Appartement,Non,Non,24.1,633155
52.0,2,1,1984,Lille,Maison,Oui,Non,5.9,257208
44.0,4,3,1972,Paris,Loft,Oui,Oui,27.8,442520
85.0,2,2,2022,Toulouse,Appartement,Non,Oui,5.4,467347
141.0,3,2,2022,Lyon,Appartement,Non,Oui,29.1,605854
173.0,6,3,1967,Marseille,Appartement,Oui,Non,15.3,698413
155.0,1,1,1968,Lille,Appartement,Oui,Non,4.0,590972
170.0,2,3,1965,Lille,Appartement,Non,Non,28.1,621746
86.0,3,2,1976,Marseille,Maison,Non,Oui,0.8,492860
184.0,5,1,1969,Lille,Appartement,Non,Oui,28.0,718498
119.0,3,1,2016,Lille,Loft,Non,Oui,20.2,470316
166.0,3,3,1973,Lyon,Maison,Oui,Oui,22.4,748362
